customer_id,signup_date,customer_segment,region,status,lifetime_months_expected,acquisition_channel,acquisition_campaign,acquisition_cost_ngn
C100100,5/31/2023 9:00,Individual,Europe,Active,22,Paid Search,Camp_38,12796
C100101,4/11/2022 20:12,SME,North America,Churned,11,Organic Social,Camp_1,935
C100102,7/24/2020 15:22,Individual,Europe,Active,57,Paid Social,Camp_71,49388
C100103,10/17/2021 12:01,SME,Nigeria,Dormant,,Organic Social,Camp_30,232
C100104,10/28/2024 4:00,Individual,Nigeria,Active,46,Event,Camp_66,25403
C100105,9/4/2022 16:05,Individual,Nigeria,Active,34,Paid Search,Camp_33,36766
C100106,10/22/2021 14:35,SME,Rest of Africa,Active,42,Paid Social,Camp_32,6856
C100107,7/29/2025 9:02,SME,Nigeria,Dormant,,Referral,Camp_95,1505
C100108,3/31/2024 1:22,Individual,Rest of Africa,Churned,4,Paid Search,Camp_60,30133
C100109,5/14/2023 4:27,Individual,West Africa,Active,9,Paid Search,Camp_109,75901
C100110,6/20/2025 6:30,SME,Nigeria,Active,22,Paid Social,Camp_72,1950
C100111,11/26/2023 14:28,SME,Nigeria,Dormant,,Paid Search,Camp_23,4276
C100112,3/19/2021 21:16,Enterprise,North America,Active,30,Event,Camp_51,28441
C100113,4/2/2022 22:53,Individual,Nigeria,Active,55,Affiliate,CMP_3,4336
C100114,3/9/2021 19:35,SME,West Africa,Churned,20,ORG,Camp_102,2644
C100115,2/5/2022 5:52,Individual,Nigeria,Churned,21,Affiliate,Camp_11,2818
C100116,10/10/2024 2:38,SME,Nigeria,Active,50, AFF ,Camp_83,6580
C100117,8/1/2024 13:03,Individual,Nigeria,Active,52,Paid Search,Camp_70,53701
C100118,3/27/2022 7:26,Individual,Europe,Active,36,Affiliate,Camp_58,1403
C100119,12/21/2024 5:53,SME,Europe,Churned,3,Organic Social,Camp_61,1212
C100120,8/24/2023 2:20,SME,Nigeria,Churned,17,Affiliate,Camp_92,115557
C100121,12/17/2024 23:22,Individual,Nigeria,Active,29,Affiliate,Camp_61,462
C100122,5/25/2023 21:27,SME,Nigeria,Active,18,Paid Social,Camp_101,20162
C100123,1/29/2023 16:24,Individual,North America,Active,42,Paid Search,CMP_80,9438
C100124,11/12/2021 9:44,Individual,Nigeria,Active,13,Paid Search,Camp_97,11073
C100125,3/5/2021 18:45,Individual,Nigeria,Churned,4,Paid Social,Camp_45,9362
C100126,5/2/2024 1:02,SME,North America,Active,14,Affiliate,Camp_83,3441
C100127,3/13/2024 7:12,Enterprise,North America,Active,22,Affiliate,Camp_29,14721
C100128,10/9/2020 10:41,Individual,Nigeria,Churned,26,Paid Search,Camp_25,73000
C100129,5/26/2020 9:15,Individual,Rest of Africa,Active,26,Organic Social,Camp_111,3970
C100130,12/6/2020 16:01,Individual,Nigeria,Active,30,Paid Social,Camp_120,15695
C100131,4/19/2021 20:40,Individual,Nigeria,Active,10,Paid Search,Camp_96,1827
C100132,5/3/2025 9:46,SME,Nigeria,Churned,3,Paid Search,Camp_120,31223
C100133,5/12/2021 1:07,SME,Nigeria,Dormant,,Paid Social,Camp_37,15791
C100134,10/15/2025 4:21,Individual,North America,Active,11,EVT,Camp_19,2068
C100135,8/4/2023 14:31,Individual,Europe,Active,11,Paid Social,Camp_18,3981
C100136,1/26/2025 23:28,SME,Nigeria,Churned,1,Organic Social,Camp_42,1127
C100137,7/16/2020 8:58,Individual,Nigeria,Churned,2,Referral,Camp_28,374
C100138,4/10/2023 10:19,Individual,Nigeria,Active,19,Paid Social,Camp_76,19347
C100139,3/31/2023 15:35,Individual,North America,Active,22,Event,Camp_29,105488
C100140,1/25/2025 8:39,SME,Nigeria,Active,19,Event,Camp_79,57583
C100141,12/25/2023 4:19,SME,Nigeria,Dormant,,Paid Social,Camp_17,11679
C100142,7/1/2024 21:37,Individual,Europe,Active,37,Organic Social,Camp_18,2588
C100143,2/20/2022 2:47,Enterprise,Nigeria,Active,47,Paid Social,Camp_34,8793
C100144,9/14/2024 19:30,Individual,Europe,Churned,1,Paid Social,Camp_17,16549
C100145,2/5/2020 16:05,Individual,West Africa,Dormant,,Paid Search,Camp_47,11126
C100146,10/14/2025 13:36,Individual,Nigeria,Active,40,Organic Social,Camp_114,1281
C100147,12/21/2020 21:35,Individual,Nigeria,Active,40,Organic Social,Camp_98,4617
C100148,10/19/2025 0:00,SME,Nigeria,Active,20,Paid Search,Camp_64,12386
C100149,7/26/2024 7:24,Individual,Nigeria,Active,51,Paid Social,Camp_62,256
C100150,4/8/2022 23:55,SME,Nigeria,Active,58,Event,Camp_58,899
C100151,6/14/2025 9:34,Individual,Nigeria,Dormant,,Paid Search,Camp_99,8009
C100152,11/22/2022 21:19,SME,North America,Active,43,Paid Search,Camp_24,17957
C100153,12/12/2020 13:55,Individual,Nigeria,Active,12,Organic Social,Camp_59,2186
C100154,6/30/2022 20:57,Individual,West Africa,Active,20,EVT,Camp_59,973
C100155,9/12/2023 18:26,Individual,Rest of Africa,Active,59,Paid Search,Camp_33,6312
C100156,5/6/2021 9:05,Individual,Nigeria,Active,9,Referral,Camp_47,202
C100157,11/10/2023 16:05,Individual,West Africa,Churned,13,Referral,CMP_58,5937
C100158,1/11/2020 1:59,Individual,Nigeria,Active,12,Paid Search,Camp_87,9379
C100159,3/29/2022 7:42,Individual,Nigeria,Active,6,Referral,Camp_44,29
C100160,4/4/2024 6:24,Individual,West Africa,Active,25,Paid Social,Camp_7,19448
C100161,7/9/2021 1:14,Individual,Nigeria,Active,30,Organic Social,Camp_22,1322
C100162,4/26/2024 7:29,SME,Nigeria,Churned,1,Organic Social,Camp_14,4182
C100163,11/26/2020 14:33,SME,Nigeria,Churned,7,Organic Social,Camp_85,816
C100164,4/26/2025 17:45,Individual,Nigeria,Active,33,Paid Search,Camp_103,103399
C100165,7/16/2022 5:39,SME,Nigeria,Dormant,,Affiliate,Camp_67,28121
C100166,6/8/2025 3:31,SME,Nigeria,Churned,1,Paid Social,Camp_68,19207
C100167,4/26/2024 6:05,SME,Europe,Active,50,Paid Search,Camp_113,30706
C100168,3/7/2025 0:06,Individual,Nigeria,Active,43,Paid Search,Camp_45,13872
C100169,9/9/2021 23:53,Individual,West Africa,Active,51,Organic Social,Camp_24,16374
C100170,4/19/2021 20:31,SME,Europe,Active,23,Referral,Camp_12,1102
C100171,3/7/2023 17:02,Individual,Nigeria,Dormant,,Paid Search,Camp_13,6843
C100172,5/16/2021 21:58,SME,North America,Dormant,,Organic Social,Camp_120,612
C100173,8/2/2024 19:00,Individual,North America,Active,23,Paid Search,Camp_119,5833
C100174,7/5/2024 18:02,SME,Nigeria,Active,54,Organic Social,Camp_37,4245
C100175,1/2/2020 18:38,SME,North America,Active,49,Paid Search,Camp_68,7028
C100176,2/3/2025 20:32,SME,Nigeria,Active,51,Referral,Camp_40,2124
C100177,10/4/2022 2:49,SME,Europe,Active,37,Paid Social,Camp_56,
C100178,2/27/2024 1:04,SME,Rest of Africa,Churned,7,Event,Camp_5,87169
C100179,3/1/2020 12:17,Individual,Nigeria,Active,58,Paid Search,Camp_30,20438
C100180,12/13/2020 13:27,SME,West Africa,Active,45,Paid Social,Camp_92,
C100181,2/1/2023 17:48,Individual,Nigeria,Active,59,Paid Search,Camp_49,20329
C100182,8/13/2022 9:54,Individual,Nigeria,Active,49,Event,Camp_25,86711
C100183,1/13/2022 22:51,SME,Nigeria,Active,52,Affiliate,Camp_68,524
C100184,6/28/2020 23:12,Individual,Nigeria,Dormant,,Paid Social,Camp_30,1255
C100185,1/18/2022 8:41,Individual,West Africa,Dormant,,Referral,Camp_75,2419
C100186,10/28/2024 17:11,Individual,Nigeria,Churned,2,Affiliate,Camp_106,11686
C100187,9/1/2020 16:33,Individual,Nigeria,Churned,2,Organic Social,Camp_51,2842
C100188,9/23/2020 2:47,Individual,Nigeria,Active,9,Organic Social,Camp_92,2171
C100189,2/18/2024 22:04,Individual,Nigeria,Active,55,PS,Camp_99,8141
C100190,8/3/2020 0:51,Individual,Nigeria,Dormant,, Paid Search ,Camp_69,6677
C100191,7/13/2024 1:27,Individual,North America,Active,29, Affiliate ,Camp_63,19439
C100192,1/25/2021 17:23,Individual,Rest of Africa,Active,29,Event,Camp_70,13990
C100193,2/2/2021 21:33,Individual,Nigeria,Churned,2,Organic Social,Camp_107,5221
C100194,8/11/2025 18:35,Individual,West Africa,Active,60,Paid Social,Camp_65,27844
C100195,1/16/2024 15:37,Individual,Nigeria,Active,37,Paid Social,Camp_112,399
C100196,9/4/2024 4:19,Individual,West Africa,Active,37,Referral,Camp_39,68
C100197,5/28/2021 0:45,SME,Nigeria,Dormant,,Affiliate,Camp_23,3241
C100198,4/3/2022 12:03,Individual,Nigeria,Active,10,Affiliate,Camp_104,9526
C100199,6/27/2024 10:12,Individual,Nigeria,Active,40,Referral,Camp_101,604
C100200,2/27/2025 14:55,SME,Nigeria,Active,55, Organic Socia,Camp_3,7
C100201,8/7/2023 15:27,Individual,Nigeria,Active,34,Paid Search,Camp_98,8497
C100202,10/20/2021 0:49,Individual,Nigeria,Active,18,Paid Search,Camp_96,2361
C100203,8/2/2024 12:49,Individual,North America,Active,48,Affiliate,Camp_102,1981
C100204,9/16/2021 22:54,SME,Nigeria,Churned,8,Organic Social,Camp_86,2026
C100205,8/26/2022 11:15,Individual,North America,Active,43,Paid Search,Camp_37,3425
C100206,5/24/2023 15:01,SME,Nigeria,Dormant,,Paid Search,Camp_60,30635
C100207,9/17/2025 20:36,SME,Nigeria,Active,40,Referral,Camp_43,591
C100208,7/12/2025 2:25,SME,Nigeria,Churned,1,Paid Search,Camp_116,27050
C100209,3/6/2023 4:15,Individual,Rest of Africa,Active,58,Paid Search,Camp_89,22846
C100210,9/23/2023 3:06,Individual,Nigeria,Active,39,Organic Social,Camp_81,11416
C100211,5/27/2024 1:15,SME,Nigeria,Active,41,Referral,Camp_89,184
C100212,11/3/2023 17:14,SME,West Africa,Active,45,Referral,Camp_114,483
C100213,1/10/2021 22:43,SME,Nigeria,Churned,7,Paid Search,Camp_76,50095
C100214,2/9/2022 5:10,SME,North America,Active,20,Referral,Camp_99,3453
C100215,11/29/2021 2:38,Individual,Nigeria,Churned,19,Paid Search,Camp_72,5333
C100216,7/17/2020 22:07,Individual,West Africa,Churned,3,Paid Social,Camp_32,2051
C100217,11/16/2022 9:29,Individual,North America,Active,8,Referral,Camp_48,3879
C100218,3/6/2020 8:25,SME,Rest of Africa,Churned,14,Organic Social,Camp_85,980
C100219,1/1/2025 19:28,SME,Rest of Africa,Dormant,, Affiliate ,Camp_65,16390
C100220,9/16/2024 23:22,Individual,Nigeria,Active,43,Referral,Camp_102,6494
C100221,12/15/2021 22:35,Individual,Nigeria,Active,54,Organic Social,Camp_77,1247
C100222,1/2/2025 5:16,SME,West Africa,Dormant,,Paid Search,Camp_40,45875
C100223,11/15/2021 4:35,Individual,Nigeria,Active,12,Paid Social,Camp_58,9924
C100224,1/23/2020 8:11,Enterprise,Nigeria,Active,54, Paid Social ,CMP_97,27987
C100225,8/8/2020 13:37,Individual,Rest of Africa,Active,14,Paid Search,Camp_61,13080
C100226,5/14/2025 18:26,SME,Nigeria,Active,34,Event,Camp_8,2919
C100227,7/1/2020 21:56,Individual,Nigeria,Active,8,SOC,Camp_113,22449
C100228,12/12/2021 7:08,SME,Nigeria,Dormant,,Affiliate,Camp_50,1306
C100229,7/28/2020 9:43,Individual,West Africa,Churned,6,Organic Social,Camp_74,13088
C100230,4/7/2020 14:19,SME,West Africa,Churned,2,Referral,Camp_90,1081
C100231,10/23/2022 14:32,SME,North America,Active,18,Organic Social,Camp_93,427
C100232,8/8/2020 3:30,SME,North America,Active,49,Organic Social,Camp_107,1296
C100233,5/16/2024 10:15,SME,Nigeria,Active,54,Organic Social,Camp_32,9921
C100234,1/9/2022 10:54,Individual,North America,Active,23,Paid Search,CMP_88,9681
C100235,5/15/2022 4:46,SME,Rest of Africa,Dormant,,Referral,Camp_76,3880
C100236,9/9/2025 10:35,Individual,North America,Active,31,Paid Social,Camp_23,
C100237,2/17/2024 3:07,Individual,North America,Active,16,Paid Search,Camp_68,15788
C100238,10/27/2021 14:39,Individual,West Africa,Churned,4,Organic Social,Camp_44,10529
C100239,8/2/2024 8:11,Individual,West Africa,Active,22,Paid Search,Camp_31,1240
C100240,2/15/2021 1:53,Individual,Europe,Active,54,Event,Camp_17,14512
C100241,11/9/2024 4:03,Individual,Nigeria,Active,28,Event,Camp_83,96251
C100242,11/25/2024 5:27,Individual,Rest of Africa,Active,45,Event,Camp_82,36305
C100243,1/8/2024 12:54,SME,Nigeria,Active,26,Paid Social,Camp_7,22672
C100244,1/24/2022 23:11,Individual,Nigeria,Active,41,Paid Search,Camp_20,46149
C100245,1/9/2024 11:25,SME,Nigeria,Churned,4,Event,Camp_120,29659
C100246,6/18/2023 16:35,Individual,North America,Active,51,Paid Social,Camp_41,33600
C100247,8/14/2021 13:59,Individual,Nigeria,Active,50,Event,Camp_40,40729
C100248,10/20/2020 1:26,SME,Nigeria,Churned,30,EVT,Camp_53,46289
C100249,10/28/2020 3:41,Individual,Nigeria,Churned,6,Affiliate,Camp_11,1327
C100250,8/9/2025 9:18,Individual,North America,Dormant,,Paid Social,Camp_110,50349
C100251,9/1/2023 5:30,Individual,North America,Active,23,Paid Social,Camp_54,28620
C100252,1/5/2023 18:20,SME,Nigeria,Active,28,Affiliate,Camp_92,2346
C100253,8/9/2023 0:18,SME,Nigeria,Churned,7, Paid Social ,Camp_86,15614
C100254,7/1/2023 6:00,Individual,Nigeria,Active,50,Paid Search,Camp_91,11808
C100255,12/21/2023 23:52,Individual,Nigeria,Active,50,Organic Social,Camp_83,5399
C100256,6/17/2020 7:17,SME,Nigeria,Active,14,Event,Camp_61,202986
C100257,9/23/2025 1:41,Individual,Nigeria,Churned,1,REF,Camp_76,93
C100258,7/23/2025 5:10,Individual,Nigeria,Churned,2,Organic Social,Camp_38,15237
C100259,6/30/2025 14:39,Individual,West Africa,Active,54,Paid Search,Camp_53,1878
C100260,11/1/2020 18:34,Individual,Nigeria,Dormant,,Organic Social,Camp_96,3088
C100261,7/7/2020 7:36,Individual,North America,Active,25,Event,Camp_57,26319
C100262,6/4/2023 21:37,Individual,Nigeria,Churned,13,Paid Search,Camp_83,7824
C100263,11/20/2022 4:14,SME,Europe,Churned,2,Organic Social,Camp_58,4181
C100264,12/5/2020 11:41,SME,West Africa,Active,6,Affiliate,CMP_68,14364
C100265,2/11/2022 13:09,Individual,North America,Churned,2,Referral,Camp_86,696
C100266,8/18/2021 5:59,Individual,North America,Churned,4,Referral,Camp_102,146
C100267,8/13/2021 23:00,SME,North America,Active,21,Referral,Camp_9,2000
C100268,7/24/2024 4:21,Individual,Rest of Africa,Active,22,Paid Social,Camp_67,25079
C100269,10/25/2023 19:03,Individual,Nigeria,Active,41,Paid Social,Camp_98,55629
C100270,3/11/2021 12:44,SME,Nigeria,Churned,2,Affiliate,Camp_73,1390
C100271,8/3/2023 17:46,SME,Nigeria,Active,60,Affiliate,Camp_67,18530
C100272,7/24/2021 1:51,SME,North America,Dormant,,Affiliate,Camp_101,5264
C100273,5/15/2022 9:49,SME,West Africa,Dormant,,Event,Camp_56,10754
C100274,12/8/2023 8:02,SME,Rest of Africa,Active,10,Organic Social,Camp_28,16450
C100275,2/15/2022 2:55,Enterprise,Europe,Active,35,Organic Social,Camp_92,1361
C100276,8/22/2020 5:06,Individual,Nigeria,Active,10,Referral,Camp_54,2644
C100277,10/8/2023 18:13,Individual,Nigeria,Churned,8,Organic Social,Camp_96,7682
C100278,9/5/2024 19:13,Individual,Nigeria,Churned,1,Referral,Camp_118,1126
C100279,10/31/2020 4:36,SME,Nigeria,Active,44,Referral,Camp_11,2342
C100280,6/6/2020 4:08,Individual,Nigeria,Active,60,Affiliate,Camp_112,6797
C100281,7/19/2025 3:26,Individual,West Africa,Active,25,Paid Social,Camp_29,3838
C100282,8/6/2024 13:09,SME,North America,Active,23,Paid Social,Camp_112,25679
C100283,2/15/2020 20:25,Individual,West Africa,Active,59,Paid Search,Camp_74,65782
C100284,10/16/2020 18:10,SME,Nigeria,Churned,25,Organic Social,Camp_42,3353
C100285,1/4/2022 9:43,SME,Nigeria,Active,31,Paid Search,Camp_80,129227
C100286,5/31/2021 17:03,Individual,Nigeria,Active,24,Organic Social,Camp_92,2792
C100287,6/16/2023 16:25,SME,West Africa,Dormant,,Organic Social,Camp_38,3267
C100288,2/17/2024 20:01,Enterprise,West Africa,Churned,16,Paid Social,Camp_100,20169
C100289,2/4/2024 12:41,Individual,Nigeria,Dormant,,Organic Social,Camp_82,1027
C100290,10/26/2021 2:09,Individual,Nigeria,Churned,29,Paid Search,Camp_42,58055
C100291,5/30/2023 23:43,Individual,Europe,Churned,1,Paid Search,Camp_101,40395
C100292,7/1/2020 4:10,SME,Nigeria,Active,24,Affiliate,Camp_75,16471
C100293,5/26/2021 12:14,Individual,Rest of Africa,Dormant,,Paid Social,Camp_18,16928
C100294,3/23/2023 10:17,SME,Nigeria,Active,26,Paid Search,Camp_91,53799
C100295,1/7/2020 16:42,Enterprise,Nigeria,Dormant,,Organic Social,Camp_9,5696
C100296,4/27/2023 23:57,Individual,Nigeria,Active,60,Referral,Camp_15,1433
C100297,4/3/2022 22:58,SME,Nigeria,Active,60,Paid Search,Camp_92,67129
C100298,11/14/2023 15:52,Individual,Nigeria,Active,29,Organic Social,Camp_72,2896
C100299,6/5/2022 5:43,Individual,Nigeria,Active,35,Paid Search,Camp_43,17357
C100300,8/7/2023 5:43,SME,West Africa,Dormant,,Paid Search,Camp_96,4644
C100301,9/22/2024 17:05,Individual,Nigeria,Active,22,Organic Social,Camp_57,14749
C100302,8/18/2025 8:42,Individual,Nigeria,Churned,1,Organic Social,Camp_23,1249
C100303,2/21/2024 0:51,Individual,North America,Active,39,Organic Social,Camp_30,1124
C100304,4/25/2021 22:29,Individual,Nigeria,Active,51,Referral,Camp_81,213
C100305,8/12/2021 23:48,Individual,Nigeria,Churned,39,Event,Camp_43,24158
C100306,7/10/2022 20:08,Individual,Nigeria,Active,21,Organic Social,Camp_81,1598
C100307,11/7/2021 8:57,Individual,Nigeria,Active,52,Paid Social,Camp_7,24301
C100308,6/30/2020 16:49,Individual,Nigeria,Active,12,Referral,Camp_12,734
C100309,12/4/2024 10:48,Individual,Nigeria,Churned,1,Paid Social,Camp_80,22962
C100310,8/11/2024 13:00,Enterprise,Europe,Active,33,Paid Social,Camp_36,3925
C100311,7/8/2020 9:19,Individual,Europe,Active,23,Paid Search,Camp_59,6533
C100312,9/1/2022 8:04,Individual,Nigeria,Active,11,Paid Search,Camp_28,41019
C100313,6/26/2020 14:33,Individual,Nigeria,Active,59,Event,Camp_64,18550
C100314,6/4/2020 18:53,Individual,Europe,Dormant,,Affiliate,Camp_63,948
C100315,12/19/2024 23:26,Individual,Nigeria,Dormant,,Referral,Camp_74,6509
